Text,Intent,Response
"What are the course fees?","AskFees","Our course fees range from ₹8000 to ₹25000 depending on the program. Data Science courses start at ₹15000, Web Development at ₹10000, and AI/ML programs at ₹20000. We also offer installment plans and scholarships for deserving students."
"How much do courses cost?","AskFees","Our course fees range from ₹8000 to ₹25000 depending on the program. Data Science courses start at ₹15000, Web Development at ₹10000, and AI/ML programs at ₹20000. We also offer installment plans and scholarships for deserving students."
"Tell me about internships","AskInternship","Yes! SkillHigh offers internships through our partner companies. We have partnerships with 50+ tech companies. Internships are typically 2-6 months long and can lead to full-time job offers. Students with 80%+ attendance and good project performance are eligible."
"Do you provide internships?","AskInternship","Yes! SkillHigh offers internships through our partner companies. We have partnerships with 50+ tech companies. Internships are typically 2-6 months long and can lead to full-time job offers. Students with 80%+ attendance and good project performance are eligible."
"Hi","Greeting","Hello! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"Hello","Greeting","Hello! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"Hey","Greeting","Hello! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"hii","Greeting","Hello! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"hlo","Greeting","Hello! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"hey there","Greeting","Hello! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"good morning","Greeting","Good morning! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"good afternoon","Greeting","Good afternoon! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"good evening","Greeting","Good evening! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"hi there","Greeting","Hello! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
"hello there","Greeting","Hello! Welcome to SkillHigh! I'm your AI assistant. How can I help you today? I can assist with course information, fees, internships, certifications, and more!"
